domain,crawl_count,use_optimizely,rank
1000museums.com,2,0,269342
100resilientcities.org,3,0,360134
101vape.com,31,0,107856
10meilleuresbanques.fr,18,0,493550
118118money.com,30,0,515507
11v11.com,5,0,65189
121doc.com,10,0,249237
123hjemmeside.dk,9,0,805192
123ink.ie,31,0,292180
123pages.es,1,0,454878
123pages.fr,1,0,405383
123pneus.be,31,0,497728
123pneus.ch,31,0,453821
123pneus.fr,31,0,87383
123spill.no,24,0,199275
123stores.com,2,0,681559
1440minut.info,25,0,912677
14march.org,31,0,408715
15five.com,84,0,41115
1800dentist.com,12,0,240232
1800lighting.com,2,2,192399
1dagskoopjes.nl,15,0,418902
1dental.com,2,0,231548
1emulation.com,1,0,404782
1proxy.de,13,0,269741
1stdibs.com,10,0,13147
1stincoffee.com,31,0,398256
1stoplighting.com,31,0,192155
1stwise.com,1,0,563534
1und1.de,42,0,1822
1v1y.com,88,0,27696
20x200.com,31,0,529019
23andme.com,100,84,5341
24.com,7,0,157132
247blinds.co.uk,2,0,242090
24mx.se,31,0,402507
24slides.com,26,0,162278
250ok.com,2,0,309088
25thframe.co.uk,1,0,496542
2checkout.com,120,0,15873
2proxy.de,13,0,731110
2u.com,24,22,229927
360learning.com,1,1,69951
38degrees.org.uk,69,0,38598
3dhubs.com,2,0,27657
3dprintersuperstore.com.au,31,0,969025
3gleb.com,31,0,587080
3m.co.uk,2,0,172551
3mindia.co.in,2,0,216467
3mrussia.ru,2,0,295787
3proxy.de,65,0,745917
3scale.net,150,0,217896
4-h.org,10,0,290686
4proxy.de,69,0,219090
4share.com,1,0,511311
4thletter.net,4,0,867508
4wd.com,31,0,109753
4wdl.com,10,0,193701
500px.com,156,0,2109
555775.com,3,0,102198
5pm.co.uk,7,0,257357
6raum.de,21,0,633440
7-min.com,2,0,640286
7forallmankind.com,4,0,111968
7search.com,92,0,233685
7shifts.com,31,0,65772
8coupons.com,26,0,693824
95octane.com,1,0,239392
98kxw.com,2,0,677007
99designs.at,7,0,847563
99designs.ca,7,0,101464
99designs.ch,9,0,672630
99designs.co.uk,20,0,75581
99designs.com,80,0,6143
99designs.com.au,13,0,158531
99designs.com.br,35,0,390952
99designs.com.co,21,0,951695
99designs.com.mx,7,0,221134
99designs.com.sg,9,0,410605
99designs.de,19,0,99201
99designs.es,9,0,175684
99designs.fr,13,0,131191
99designs.ie,7,0,845111
99designs.it,9,0,119954
99designs.jp,7,0,108757
99designs.nl,7,0,327506
99designs.pt,7,0,884902
a1storage.com,30,0,786081
a2schools.org,1,0,181957
a4toner.com,2,0,545099
aa.co.nz,28,1,84498
aad.org,52,0,47398
abb.com,30,0,9328
abbyy.com,30,8,30689
abbyy.store,1,0,413058
abc.go.com,73,73,2183
abc7chicago.com,74,0,20937
abc7news.com,73,0,39885
abcgruppen.se,17,0,240769
abcnews.go.com,176,111,995
abendblatt.de,107,0,17626
abercrombie.cn,31,0,52805
abercrombie.co.jp,31,0,105270
abercrombie.com.hk,31,0,255486
abercrombie.com.tw,31,0,245131
abercrombie.sg,31,0,405947
abercrombiekent.co.uk,2,0,375274
aberdeen.com,26,0,396353
ableton.com,122,0,6555
abogados365.com,31,0,274302
about.me,10,0,12902
aboveaverage.com,2,0,413136
abraham.com,30,0,285814
absolut.com,30,0,224147
absolutdrinks.com,124,0,119215
academicimpressions.com,1,0,435373
academicsuperstore.com,31,0,408026
academon.fr,31,0,229727
academyadmissions.com,31,0,250864
acadianasthriftymom.com,2,0,481803
accelerated-ideas.com,93,0,20184
acceptanceinsurance.com,8,0,540539
accioncontraelhambre.org,29,0,345768
accompa.com,93,0,470346
accuquilt.com,1,0,241467
aceandtate.nl,2,0,442310
acer.com,124,4,3510
acfb.org,1,0,722478
acheter-en-chine.com,18,0,820693
aciworldwide.com,1,0,155835
acs.org,87,0,2593
actionagainsthunger.org,1,0,258538
actionsprout.com,1,0,111435
actitime.com,28,0,219136
activelylearn.com,9,0,27749
activerain.com,31,0,62015
adclickxpress.is,6,0,31866
addbusiness.net,93,0,260470
adespresso.com,93,78,11170
adidas.at,2,0,119410
adidas.be,2,0,114711
adidas.cl,2,0,70176
adidas.co,2,0,60269
adidas.co.uk,6,0,7460
adidas.com,14,0,1209
adidas.com.ar,2,0,48695
adidas.com.br,6,0,23757
adidas.cz,2,0,158035
adidas.de,8,0,16614
adidas.dk,2,0,97472
adidas.es,4,0,29294
adidas.fr,6,0,22377
adidas.ie,4,0,82319
adidas.it,4,0,35725
adidas.mx,2,0,42634
adidas.nl,2,0,61958
adidas.pe,2,0,91808
adidas.pl,2,0,38874
adidas.ru,6,0,11629
adidas.se,2,0,67256
adidas.sk,2,0,158148
adlibris.com,24,0,15339
administracionpublica.gob.ec,2,0,544190
adminium.io,25,0,349647
adminkit.net,16,0,442610
adoreme.com,84,0,39604
adp.com,96,0,666
adr168.com,8,0,168282
adria.si,31,0,127821
adroll.com,121,0,17597
adt.ca,31,0,605624
adt.com,41,0,63425
adthena.com,31,0,302887
adultbox.eu,2,0,814371
adventskalender.net,23,0,938893
advertiser-tribune.com,2,0,623098
advertisers.com.au,2,0,951479
adviso.ca,31,0,539049
aeon.co,123,0,15576
aerobilet.com.tr,31,0,143280
aerofs.com,2,0,894446
aesop.com,2,0,62149
aetv.com,78,78,32015
afar.com,71,0,53240
afb.org,1,0,108394
affiliate-sale.com,1,0,329572
affiliatewp.com,1,0,97532
affilorama.com,38,0,70159
affordable-health-insurance-plans.org,2,0,145175
affordablecollegesonline.org,2,0,329819
aflcio.org,1,0,250809
afors.com,31,0,192208
afr.com,6,0,15110
aframe.com,1,0,629359
afrocanetwork.com,20,0,896522
afrodity.sk,1,0,191489
aftenbladet.no,86,0,29082
aftenposten.no,241,0,5131
after55.com,57,0,279679
aftonbladet-cdn.se,1,0,278835
aftonbladet.se,34,0,1700
agconsult.com,1,0,834712
agencycentral.co.uk,31,0,302752
agentprovocateur.com,90,0,75791
agilize.com.br,21,0,437162
agilone.com,10,0,443621
agjeans.com,31,0,138826
agorapulse.com,8,0,19657
agratitudesign.blogspot.com,3,0,624223
agriculture-xprt.com,64,0,838571
agrussell.com,2,0,442200
ahalife.com,31,0,120335
ahan.in,2,0,492783
ahm.com.au,26,0,192636
ahorro.net,3,0,729722
aia.org,1,0,113620
air-purifiers-america.com,31,0,957050
airaid.com,31,0,981553
airasia.com,5,5,1574
airfarewatchdog.com,34,32,20888
airliners.net,6,0,8966
airnewzealand.co.nz,89,89,29980
airparks.co.uk,31,0,263807
airparks.de,7,0,437522
