domain	crawl_time	experiment_id	experiment_name	audience_num	audience_name	variation_num
thebreastcancersite.greatergood.com	1518688800000	10014530948	2.8.0_Take Action (ARS) [Dublin Killing Fields]: Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10024913377	2.12.0_Take Action (ARS) [Australia To Stop Killing Cats]: Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10068122079	2.9.0 Take Action (ARS) [Dogs and Cats S Korea] : Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10095301391	2.10.0_Take Action (ARS) [End Trophy Hunting]: Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10162405686	2.15.0_Take Action (ARS) [Slaughter Of Working Dogs]: Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10169882215	2.14.0_Take Action (ARS) [Donkeys Die For Medicine]: Thank You State Petition Promotion CTA	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	10199720073	4.29.0_Giveaway (ALL): Move Subscription Fine Print	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	8640425651	4.20.3_CTG Mobile Layout Round 4 -- Gamification and STG Dropdown (HOT FIX)	1	Mobile Only	3
thebreastcancersite.greatergood.com	1518688800000	8802426727	4.28.0_CTG [Optimizely X]: Oceana Partner Page Redirect (HOTFIX)	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	8900223831	5.38.0_Store (RescueBox) [Optimizely X]: Select Pet Page Element Swap	0	Everyone else	2
thebreastcancersite.greatergood.com	1518688800000	9949469924	2.11.0_Take Action (ARS) [Horses Bullfighting]: Thank You State Petition Promotion CTA	0	Everyone else	2
mouseflow.com	1520402400000	10355591858	Promo Home Test	0	Everyone else	2
pillpack.com	1518620400000	8790163649	PillPack.com: Bottom CTA Color	2	Not Call Center Partners,Not Affiliates	2
sysaid.com	1518724800000	10201163403	Default Help Desk LP VS Help Desk About You LP	0	Everyone else	2
sysaid.com	1518724800000	9500710152	Short ITSM LP VS Long ITSM LP	0	Everyone else	2
indeed.com	1517360400000	10114720031	Add a suvery link	1	en_Everyone_sasano	2
indeed.com	1517360400000	10158451681	Job Description CTA | MMarmion	2	Everyone_Test Audience_mmarmion,en_US_Everyone	2
indeed.com	1517360400000	10179910006	EMPTRAFFIC-67 |  Post Job button CTA test on /hire | pbunge	1	en_US_Everyone	4
indeed.com	1517360400000	10192763601	EMPTRAFFIC-55 | Test CS Number under contact (DE) | pbunge	0	Everyone else	1
indeed.com	1517360400000	9732483228	Removing single salary text test	1	en_Everyone_sasano	2
cbs.com	1517443200000	9838640166	AA - Remove Marquee & Add AA Logo	0	Everyone else	2
classpass.com	1518757200000	10012611448	[FIX] Corporate Landing Page Edit	0	Everyone else	2
classpass.com	1518757200000	10162425499	[FIX] 50% off 3-month commitment	1	50% off 3 month utm_content	2
classpass.com	1518757200000	10169260492	[FIX] Blink Purchase Terms	0	Everyone else	2
classpass.com	1518757200000	10171630314	[FIX] CTA Links on Premium Pages	0	Everyone else	2
classpass.com	1518757200000	10190628186	[013] Kettlebell Hero Image	1	PLR	2
classpass.com	1518757200000	9110362279	[FIX] Credits Splash Page	0	Everyone else	2
classpass.com	1518757200000	9186631017	[FIX] Try Blink Plans Dropdown & Centered Button	0	Everyone else	2
classpass.com	1518757200000	9187600979	[FIX] Winback Test	1	Subscribers Only	2
classpass.com	1518757200000	9859330127	[FIX] RAF Landing Page	1	RAF	2
classpass.com	1518757200000	9860015954	[FIX] DPP - Free Month Winback Changes - New	1	utm_content campaign specifc	2
thetrackr.com	1518480000000	9421331458		0		2
thetrackr.com	1518480000000	9425534873		0		2
thetrackr.com	1518480000000	9428346346		0		2
thetrackr.com	1518480000000	9439351907		0		2
thetrackr.com	1518480000000	9449503772		0		2
domofond.ru	1517374800000	9524783503	Remove Contact Form From Listings - Sale/Rent	0	Everyone else	2
keen.com	1518598800000	10014382503	3Q Test 17: CC Page Default Form	0	Everyone else	2
keen.com	1518598800000	10076159812	3Q Test 9: ADP Preview on SEM LP (100%)	0	Everyone else	2
keen.com	1518598800000	10141710781	3Q Keen Test 15: Inline CTA Emphasis (100%)	0	Everyone else	2
keen.com	1518598800000	10192670767	3Q Test 18: HP How It Works Emphasis	0	Everyone else	2
keen.com	1518598800000	10281210812	3Q Test 16: HP Guarantee Emphasis (100% Traffic)	0	Everyone else	2
cardelmar.com	1518498000000	10116972050	Gmail Review on the finalize page	0	Everyone else	2
filson.com	1518649200000	10276311913		0		3
theveteranssite.greatergood.com	1517493600000	10014530948	2.8.0_Take Action (ARS) [Dublin Killing Fields]: Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	10024913377	2.12.0_Take Action (ARS) [Australia To Stop Killing Cats]: Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	10055745331	2.13.0_Take Action (ARS, TRS): Thank You State Promo for Oceana (autoskip.html) (HOTFIX)	0	Everyone else	5
theveteranssite.greatergood.com	1517493600000	10068122079	2.9.0 Take Action (ARS) [Dogs and Cats S Korea] : Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	10095301391	2.10.0_Take Action (ARS) [End Trophy Hunting]: Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	10162405686	2.15.0_Take Action (ARS) [Slaughter Of Working Dogs]: Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	10169882215	2.14.0_Take Action (ARS) [Donkeys Die For Medicine]: Thank You State Petition Promotion CTA	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	8648380008	4.20.1_CTG Mobile Layout Round 2 (HOT FIX) (1)	1	Mobile Only	3
theveteranssite.greatergood.com	1517493600000	8802426727	4.28.0_CTG [Optimizely X]: Oceana Partner Page Redirect (HOTFIX)	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	8900223831	5.38.0_Store (RescueBox) [Optimizely X]: Select Pet Page Element Swap	0	Everyone else	2
theveteranssite.greatergood.com	1517493600000	9949469924	2.11.0_Take Action (ARS) [Horses Bullfighting]: Thank You State Petition Promotion CTA	0	Everyone else	2
thepetitionsite.com	1519678800000	10368050179	AMCS Image Test 02-2018 - PID 696/206/310 - SP	0	Everyone else	2
secretescapes.com	1520024400000	10368665674	Testing X ;-)	0	Everyone else	2
highfive.com	1518602400000	10160000234		0		2
highfive.com	1518602400000	10292330029		0		2
highfive.com	1518602400000	9505350584		0		5
thetileapp.com	1518588000000	8238341888	ReTile 4-pack Eligibility (Ended, still running)	1	ReTile Customers	2
thetileapp.com	1518588000000	8739161488	BETA - Subscription MVP	1	US only Direct Customers (Subscription)	4
thetileapp.com	1518588000000	8785586286	STAGING Navigation Order	1	US Only Non Retile	3
thetileapp.com	1518588000000	8888110020	Optimizely Support A/A Test	0	Everyone else	2
thetileapp.com	1518588000000	9013605266	Ricardo Test Visitor Non-In-App Scope	0	Everyone else	2
thetileapp.com	1518588000000	9106811143	Ricardo Test Visitor Non-In-App Homepage	0	Everyone else	2
bitbucket.org	1517522400000	10016151059	Exp	1		1
bitbucket.org	1517522400000	10072764501	Exp	1		1
bitbucket.org	1517522400000	10156650560	Exp	1		1
bitbucket.org	1517522400000	10163410382	Exp	1		1
bitbucket.org	1517522400000	10163800876	Exp	1		1
bitbucket.org	1517522400000	10165641613	Exp	1		1
bitbucket.org	1517522400000	10166420533	Exp	1		1
bitbucket.org	1517522400000	10168190606	Exp	1		1
bitbucket.org	1517522400000	10168440878	Exp	1		1
bitbucket.org	1517522400000	10185501032		2		2
bitbucket.org	1517522400000	10189730689		1		1
bitbucket.org	1517522400000	10190990831		1		1
bitbucket.org	1517522400000	10193375009	Exp	2		1
bitbucket.org	1517522400000	10193520802		1		1
bitbucket.org	1517522400000	8408041155	Exp	1		1
bitbucket.org	1517522400000	8429700139	Exp	2		1
bitbucket.org	1517522400000	8482563152	Exp	1		1
bitbucket.org	1517522400000	8511229011	Exp	1		2
bitbucket.org	1517522400000	8515067477		1		1
bitbucket.org	1517522400000	8517425641		1		1
bitbucket.org	1517522400000	8582940264		1		2
bitbucket.org	1517522400000	8634790432	everyone_else	0		2
bitbucket.org	1517522400000	8780046958		1		1
bitbucket.org	1517522400000	8784605083		1		1
bitbucket.org	1517522400000	8787844615		1		1
bitbucket.org	1517522400000	8788434614		1		1
bitbucket.org	1517522400000	8792175365		1		1
bitbucket.org	1517522400000	8927892705		1		1
bitbucket.org	1517522400000	9015396918		0		1
bitbucket.org	1517522400000	9017686011		1		1
bitbucket.org	1517522400000	9263155663	Exp	1		1
bitbucket.org	1517522400000	9334610004		1		1
bitbucket.org	1517522400000	9580820615		1		2
bitbucket.org	1517522400000	9581681024		1		1
bitbucket.org	1517522400000	9581980521		1		1
bitbucket.org	1517522400000	9600390486		1		1
bitbucket.org	1517522400000	9621830944		1		1
bitbucket.org	1517522400000	9624290351		1		1
bitbucket.org	1517522400000	9630250109		1		1
bitbucket.org	1517522400000	9668031156		1		2
bitbucket.org	1517522400000	9669172464		1		2
bitbucket.org	1517522400000	9722043418	Exp	1		1
bitbucket.org	1517522400000	9727810945		0		3
bitbucket.org	1517522400000	9728841337		1		1
bitbucket.org	1517522400000	9836243770	Exp	3		1
bitbucket.org	1517522400000	9858064997	Exp	1		1
bitbucket.org	1517522400000	9858440168	Exp	3		1
bitbucket.org	1517522400000	9861970343		1		1
bitbucket.org	1517522400000	9864798419		1		1
bitbucket.org	1517522400000	9865424568		2		2
bitbucket.org	1517522400000	9868150301		1		1
bitbucket.org	1517522400000	9996042452		1		1
westwing.ch	1517608800000	10171360781	Club Core - Shop Slider in PDP - Jan 2017	0	Everyone else	2
prana.com	1518649200000	10186969678	Tagging: 6 Blocks (Home Page)	0	Everyone else	1
prana.com	1518649200000	10195826625	Checkout	0	Everyone else	2
prana.com	1518649200000	10274981699	LWL: copy on CTA	0	Everyone else	2
amaysim.com.au	1518476400000	9184471993	20171027_Customer Homepage - Energy	1	Customer Cookie	2
amaysim.com.au	1518476400000	9424563709	mobile plans - moneymag offers	0	Everyone else	2
amaysim.com.au	1518476400000	9733763041	Pre/Postpaid Funnel 	0	Everyone else	2
kindercare.com	1518573600000	9858073052	Center Pages - Highlight Chat Box	1	Desktop/Laptop Only	3
bookingbuddy.com	1519390800000	10313257324		0		2
lowes.ca	1520139600000	10310547028	CTA Change - Test	0	Everyone else	2
sageone.de	1518699600000	10186380005		0		2
sageone.de	1518699600000	10191903271		0		2
sageone.de	1518699600000	8633404145		0		2
sageone.de	1518699600000	8788870929		0		1
sageone.de	1518699600000	9106550308		0		2
sageone.de	1518699600000	9668890972		0		2
lemagit.fr	1518609600000	9294622038	HPE Client - Essential Guide - Temp Ad Placement on SearchStorage	1	Default - US	2
lemagit.fr	1518609600000	9862460114	WhatIs Search Prominence	1	Everyone - Not IE8/IE9	2
lemagit.fr	1518609600000	9864200737	Infinite Article - Wave 1a	1	Default	2
rent.com	1518516000000	10017434710	MRS_Move Review Section	1	Mobile Only	2
rent.com	1518516000000	10197496483	Load FullStory	0	Everyone else	1
tonyrobbins.com	1517428800000	8891023187	[RRI 001] Coaching Hub Page Test	0	Everyone else	2
tonyrobbins.com	1517428800000	8891972994	[RRI 004] Coaching Program LP CTA	0	Everyone else	2
tonyrobbins.com	1517428800000	8897771199	[RRI 002] Homepage Newsletter CTA	0	Everyone else	2
tonyrobbins.com	1517428800000	8901552896	[RRI 003] Coaching Video Player	0	Everyone else	2
tonyrobbins.com	1517428800000	9255922579	[RRI 006] Seven Forces Headline	0	Everyone else	4
tonyrobbins.com	1517428800000	9265863655	[RRI 005] Business Evaluation Headline	0	Everyone else	4
tonyrobbins.com	1517428800000	9266902542	[RRI 007] Business Evaluation Description	0	Everyone else	3
tonyrobbins.com	1517428800000	9504161221	[RRI 010] Product Videos	0	Everyone else	2
skillshare.com	1518386400000	9111223393	FINAL Move Membership Options to Below Form Fields	1	Non-Churned Free Users/No Accounts Only	2
skillshare.com	1518386400000	9826723055	Teach Page 	0	Everyone else	2
freshdirect.com	1518490800000	10024900819	100% Page controlling copy of DIR-26: Expanded Search on Mobile	1	Mobile Only	2
busuu.com	1520463600000	10368746725	RU_Premium test	1	Device=Desktop and Language=RU	2
busuu.com	1520463600000	9858657830	[HP & WEBAPP] First user experience	1	New Visitors	2
